2280	2850
2400	2790
2030	2640
1980	2550
1870	2420
1700	2600
1820	2660
1700	2550
1250	2620
1300	2530
1070	2490
1060	2640
970	2280
980	2220
1120	2210
1070	2280
1040	2150
930	2280
1520	1670
1330	1590
2220	2910
2360	3250
1890	2680
1850	2500
1760	2590
1710	2380
1610	2560
1690	2580
1080	2420
1060	2490
1040	2450
1100	2430
580	2470
560	2410
940	1910
830	2240
650	3300
660	3300
1210	1570
1130	1510
2180	2680
2300	2780
1930	2610
1990	2700
1810	2500
1810	2480
1710	2400
1755	2305
1200	2320
1160	2350
1080	2140
1090	2230
870	2300
840	2280
1150	2290
1030	2300
950	2240
900	2190
1370	1780
1330	1800
2240	3400
2450	3200
1960	2400
2050	2360
1780	2410
1890	2440
1610	2340
1580	2350
1200	2330
1140	2380
1100	2550
1120	2500
850	2320
890	2370
960	2210
1000	2350
950	2050
850	2330
1400	1840
1430	1730
2310	2820
2250	2850
2060	2640
1880	2450
1910	2500
1770	2400
1720	2180
1690	2320
1300	1950
1170	2000
1220	2140
1260	2020
970	1980
880	1950
1040	1990
990	1920
950	2140
800	2130
1510	1800
1460	1700
2350	2800
2430	2870
2000	2660
2000	2750
1860	2500
1830	2570
1670	2540
1687	2500
1150	2560
1270	2560
1100	2680
960	2650
1030	2690
960	2700
1080	2520
1140	2600
838	2340
938	2450
1305	1775
1320	1750
2320	3120
2280	3020
2000	2660
2040	2715
1900	2860
1840	2770
1800	2450
1810	2200
1240	2410
1250	2400
970	2580
980	2350
720	2450
800	2500
1120	2150
1120	2300
1040	2260
1000	2350
1300	1750
1370	1710
2480	3200
2380	3100
2200	2680
2130	2570
2100	2630
1760	2470
2060	2600
1820	2500
1300	2300
1350	2410
1170	2420
1150	2350
965	2500
970	2460
1110	2400
1220	2310
910	2200
975	2320
1400	1790
1410	1760
2200	2800
2275	2775
1820	2475
1850	2425
1725	2375
1800	2425
1750	2375
1775	2375
1125	2200
1120	2225
1054	2420
1050	2375
848	2200
860	2175
1000	2325
1000	2325
1150	2200
1020	2300
1305	1570
1210	1510
2260	2820
2200	2825
2040	2500
2000	2425
1870	2500
1775	2450
1650	2500
1700	2475
1220	2550
1260	2500
1080	2680
1026	2625
800	2650
819	2625
950	2500
993	2350
950	2300
920	2300
1340	1700
1275	1600
2225	3100
2175	3075
1925	2550
1940	2600
1790	2500
1725	2650
1700	2425
1650	2220
1078	2300
1038	2360
1046	2325
1018	2300
840	2500
924	2350
1080	2275
1030	2275
760	2300
850	2025
1561	1876
1450	1887
2410	3000
2440	3280
1880	2450
1930	2420
1650	2300
1720	2300
1720	2330
1680	2280
1430	2250
1390	2240
1330	2260
1240	2280
920	2080
910	2000
1200	2210
1230	2230
900	2130
1010	2240
1450	1650
1410	1640
2290	2600
2290	2700
1950	2550
1900	2450
1740	2500
1780	2430
1630	2500
1630	2380
1220	2530
